,ids,pids,prompt,response
0,220,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, male, black, reponded with: ""","My teacher always calls on me first when she is looking for someone to be the example of a wrong answer."""
1,220,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, male, black, reponded with: ""","I was walking to school and a group of older kids started calling me racial slurs and threw rocks at me."""
2,220,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, male, black, reponded with: ""","I was walking to school and some people yelled racial slurs at me from their car."""
3,220,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, male, black, reponded with: ""","I've been called racial slurs by people while walking in my neighborhood."""
4,220,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, male, black, reponded with: ""","I was walking home from school and someone yelled racial slurs at me from their car."""
5,1662,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, female, asian, reponded with: ""","I was walking in the mall and a security guard followed me the whole time, even though I hadn't done anything wrong."""
6,1662,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, female, asian, reponded with: ""","I was told to go back to my country even though I was born in the United States."""
7,1662,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, female, asian, reponded with: ""","I was walking home from school and a group of boys started making fun of me and throwing things at me because of my race."""
8,1662,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, female, asian, reponded with: ""","I was walking down the street and someone yelled a racial slur at me."""
9,1662,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, female, asian, reponded with: ""","people make fun of my accent and ask me where I'm 'really' from."""
