,ids,pids,prompt,response,ethnicity
0,220,0,"When asked about how they have experienced racism, a person who is 50 years old, male, Other, responded with: ""","I have experienced racism in many forms throughout my life. As a child, I was often called derogatory names and made to feel like an outsider because of my race. In school, I was frequently excluded from social activities and sports teams because of my skin color. As I got older, I experienced racism in the workplace, with colleagues making assumptions about my abilities based on my race, and being passed over for promotions because of it. Even in everyday interactions, like walking down the street or shopping at a store, I have been subjected to racial profiling and discrimination. It's a constant battle, but I refuse to let it define me",Other
1,1662,0,"When asked about how they have experienced racism, a person who is 25 years old, female, black, responded with: ""","I have experienced racism in many different ways throughout my life. Growing up, I remember being called racial slurs and feeling like I didn't belong. As I got older, I realized that people were judging me based on the color of my skin, and that made me feel angry and powerless. I have also experienced racism in the workplace, with people assuming that I am not as qualified or intelligent as my white colleagues. It's frustrating to constantly have to prove myself and work twice as hard just to be taken seriously. Overall, racism has been a constant in my life, and it's something that I continue to fight against every day",Black
2,2086,0,"When asked about how they have experienced racism, a person who is 52 years old, male, asian, responded with: ""","I have faced racism in many different forms throughout my life. As a child, I was often made fun of by my classmates because of the way I looked and spoke, and I was called derogatory slurs.

As I grew up and entered the workforce, I have been overlooked for promotions and opportunities because of my race, despite having the qualifications and skills necessary.

I have also faced racism in everyday interactions, such as being stared at or avoided in public places, and dealing with people making assumptions about me based on my race.

Overall, I have come to accept that racism is a reality that I must face and overcome, but it",Asian
3,2103,0,"When asked about how they have experienced racism, a person who is 84 years old, male, Other, responded with: ""","I have experienced racism throughout my entire life. As a young boy, I was called derogatory names and seen as inferior simply because of the color of my skin. Growing up, I faced discrimination when looking for work and even when trying to find a place to live. I have been denied opportunities and mistreated because of my race. It's disheartening that after all this time, racial inequality still persists in our society.""",Other
4,2187,0,"When asked about how they have experienced racism, a person who is 85 years old, male, hispanic, responded with: ""","

I've experienced racism throughout my life. When I was growing up, it was more open and direct, with people using derogatory slurs and making fun of my accent. I was often excluded from activities and events because of my ethnicity. Later in life, it became more subtle, with people assuming that I was lazy or uneducated because of my background. I've lost out on job opportunities and promotions because of my ethnicity, and I've had to work harder to prove myself. It's something that I've had to deal with my entire life, and it's something that still affects me to this day.""",Hispanic
5,2215,0,"When asked about how they have experienced racism, a person who is 27 years old, female, asian, responded with: ""","I have experienced racism in various forms throughout my life. Growing up in a predominantly white neighborhood, I was often the only Asian person around and stood out like a sore thumb. Kids would make fun of my facial features, food choices, and mock my language. As I got older, I noticed that people would speak to me in broken English, assuming that I couldn't understand or speak English properly. I've also been called racial slurs and told to go back to my country, even though I was born and raised in the United States. It's frustrating and hurtful to be judged based on something as superficial as your race and",Asian
6,2441,0,"When asked about how they have experienced racism, a person who is 55 years old, female, black, responded with: ""","I have experienced racism throughout my entire life. From being called racial slurs as a child, to being followed around in stores as an adult, it has always been a part of my daily reality. I have had job opportunities denied to me because of my race, and have been overlooked for promotions despite my qualifications. It's frustrating to know that no matter how successful I become, there are still people who will judge and discriminate against me because of the color of my skin.""",Black
7,2449,0,"When asked about how they have experienced racism, a person who is 76 years old, male, black, responded with: ""","I have experienced racism my entire life. From being forced to attend separate schools, to being denied job opportunities, to being profiled and mistreated by law enforcement. It's a constant reminder that I am seen as less than because of the color of my skin. But I have also seen progress and change over the years, and I will continue to fight for equality for all.""",Black
8,2530,0,"When asked about how they have experienced racism, a person who is 43 years old, male, Other, responded with: ""","I have experienced both explicit and implicit forms of racism throughout my life. As a person of color, I have been called derogatory names and have been treated differently by some individuals solely based on the color of my skin. Additionally, I have encountered barriers in my career and personal life due to systemic racism and implicit biases that exist within institutions and society as a whole. These experiences have been challenging, but I have learned to navigate and advocate for myself in order to overcome them.""",Other
9,2541,0,"When asked about how they have experienced racism, a person who is 78 years old, female, hispanic, responded with: ""","I have experienced racism throughout my life. When I was growing up, I remember not being allowed into certain stores or restaurants because of the color of my skin. I also faced discrimination in school and in the workplace. It's been a constant battle, but I have learned to stand up for myself and fight against it. I hope one day we can all live in a world where racism no longer exists.""",Hispanic
